primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappearance_count,sqrt_reappearance,reappears_after_first
brewer,1971,"""One Toke Over the Line""","[""brewer"",""shipley""]",TRUE,1,Legacy Recordings,1970,Legacy Recordings,1970,FALSE,63,0,0,FALSE
8th day,1971,"""She's Not Just Another Woman""","""8th day""",TRUE,1,Edsel,1971-01-01,Edsel,1970,FALSE,64,0,0,FALSE
delaney,1971,"""Never Ending Song of Love""","[""delaney"",""bonnie"",""friends""]",TRUE,1,Rhino Atlantic,1971-03-01,Rhino Atlantic,1970,TRUE,67,0,0,FALSE
freddie hart,1971,"""Easy Loving""","""freddie hart""",TRUE,1,"Foxhole Records, Inc.",2008-01-01,"Foxhole Records, Inc.",1970,FALSE,68,0,0,FALSE
mac,1971,"""Chirpy Chirpy Cheep Cheep""","[""mac"",""katie kissoon""]",TRUE,1,RCA Camden,2002-05-28,RCA Camden,1970,FALSE,71,0,0,FALSE
andy williams,1971,"""(Where Do I Begin?) Love Story""","""andy williams""",TRUE,1,Columbia,1971-02-03,Columbia,1970,TRUE,72,0,0,FALSE
cat stevens,1971,"""Wild World""","""cat stevens""",TRUE,3,UMC (Universal Music Catalogue),1970-11-23,UMC (Universal Music Catalogue),1970,FALSE,73,2,1.4142135623730951,TRUE
the beginning of the end,1971,"""Funky Nassau""","""the beginning of the end""",TRUE,1,LIL JOE RECORDS,1990-07-24,LIL JOE RECORDS,1970,FALSE,75,0,0,FALSE
olivia newton-john,1971,"""If Not for You""","""olivia newton-john""",TRUE,13,Primary Wave Music,1973-11-01,Primary Wave Music,1970,FALSE,76,12,3.4641016151377544,TRUE
king floyd,1971,"""Groove Me""","""king floyd""",TRUE,1,Chimneyville Records,1971-01-01,Chimneyville Records,1970,FALSE,77,0,0,FALSE
bobby goldsboro,1971,"""Watching Scotty Grow""","""bobby goldsboro""",TRUE,1,Columbia,1986-08-26,Columbia,1970,TRUE,78,0,0,FALSE
matthews southern comfort,1971,"""Woodstock""","""matthews southern comfort""",TRUE,1,Classic Music Vault,2016-04-01,Classic Music Vault,1970,FALSE,79,0,0,FALSE
judy collins,1971,"""Amazing Grace""","""judy collins""",TRUE,1,Elektra Records,1970-01-01,Elektra Records,1970,FALSE,80,0,0,FALSE
dave edmunds,1971,"""I Hear You Knocking""","""dave edmunds""",TRUE,1,President Records,1970,President Records,1970,FALSE,81,0,0,FALSE
the fortunes,1971,"""Here Comes That Rainy Day Feeling Again""","""the fortunes""",TRUE,1,CAPITOL CATALOG MKT (C92),1961-10-02,CAPITOL CATALOG MKT (C92),1970,FALSE,83,0,0,FALSE
the who,1971,"""Won't Get Fooled Again""","""the who""",TRUE,2,Polydor Records,1971-08-14,Polydor Records,1970,FALSE,84,1,1,TRUE
denise lasalle,1971,"""Trapped By a Thing Called Love""","""denise lasalle""",TRUE,1,Janus Records,1972-12-19,Janus Records,1970,FALSE,85,0,0,FALSE
the buoys,1971,"""Timothy""","""the buoys""",TRUE,1,Scepter Records,1971,Scepter Records,1970,FALSE,87,0,0,FALSE
isaac hayes,1971,"""Theme from Shaft""","""isaac hayes""",TRUE,2,Stax,1971,Stax,1970,FALSE,89,1,1,TRUE
gladys knight,1971,"""If I Were Your Woman""","[""gladys knight"",""the pips""]",TRUE,7,UNI/MOTOWN,1971-01-01,UNI; MOTOWN,1970,TRUE,90,6,2.449489742783178,TRUE
paul stookey,1971,"""The Wedding Song (There Is Love)""","""paul stookey""",TRUE,1,Neworld Multimedia,1971-01-01,Neworld Multimedia,1970,FALSE,92,0,0,FALSE
wilson pickett,1971,"""Don't Knock My Love""","""wilson pickett""",TRUE,1,Universal Records,1968-08-16,Universal Records,1970,FALSE,93,0,0,FALSE
the doors,1971,"""Love Her Madly""","""the doors""",TRUE,2,Rhino/Elektra,1971-04-19,Rhino; Elektra,1970,TRUE,94,1,1,TRUE
richie havens,1971,"""Here Comes the Sun""","""richie havens""",TRUE,1,Five Star Recordings,1972,Five Star Recordings,1970,FALSE,95,0,0,FALSE
wadsworth mansion,1971,"""Sweet Mary""","""wadsworth mansion""",TRUE,1,Sussex Records,1970-09-10,Sussex Records,1970,FALSE,96,0,0,FALSE
brenda,1971,"""Right on the Tip of My Tongue""","[""brenda"",""the tabulations""]",TRUE,1,Jamie/Guyden,1998-01-01,Jamie; Guyden,1970,FALSE,97,0,0,FALSE
the 5th dimension,1971,"""One Less Bell to Answer""","""the 5th dimension""",TRUE,2,Arista/Legacy,1970,Arista; Legacy,1970,TRUE,98,1,1,TRUE
perry como,1971,"""It's Impossible""","""perry como""",TRUE,1,RCA/Legacy,1970-12-01,RCA; Legacy,1970,TRUE,100,0,0,FALSE
roberta flack,1972,"""The First Time Ever I Saw Your Face""","""roberta flack""",TRUE,6,Atlantic Records,1969,Atlantic Records,1970,TRUE,1,5,2.23606797749979,TRUE
gilbert o'sullivan,1972,"""Alone Again (Naturally)""","""gilbert o'sullivan""",TRUE,3,Salvo,1972-01-01,Salvo,1970,FALSE,2,2,1.4142135623730951,TRUE
don mclean,1972,"""American Pie""","""don mclean""",TRUE,3,Capitol Records,1971,Capitol Records,1970,TRUE,3,2,1.4142135623730951,TRUE
harry nilsson,1972,"""Without You""","""harry nilsson""",TRUE,2,RCA Records Label,1971,RCA Records Label,1970,FALSE,4,1,1,TRUE
sammy davis jr.,1972,"""The Candy Man""","""sammy davis jr.""",TRUE,1,Geffen,1995,Geffen,1970,FALSE,5,0,0,FALSE
joe tex,1972,"""I Gotcha""","""joe tex""",TRUE,2,Sony ATV,1969-01-01,Sony ATV,1970,FALSE,6,1,1,TRUE
mac davis,1972,"""Baby, Don't Get Hooked on Me""","""mac davis""",TRUE,2,Columbia/Legacy,1972-09-09,Columbia; Legacy,1970,TRUE,8,1,1,TRUE
