Year,No.,primary_artist,Title,is_major_label,decade,sqrt_reappearance,duration_sec,lastfm_genre,lastfm_top_tag,new_lastfm_genre
1971,90,gladys knight,"""If I Were Your Woman""",TRUE,1970,2.449489742783178,194.533,Rnb,Soul,NA
1971,92,paul stookey,"""The Wedding Song (There Is Love)""",FALSE,1970,0,226.76,Unknown,NA,NA
1971,93,wilson pickett,"""Don't Knock My Love""",FALSE,1970,0,136.4,Unknown,Soul,NA
1971,94,the doors,"""Love Her Madly""",TRUE,1970,1,198.466,Rock,Classic Rock,Rock
1971,95,richie havens,"""Here Comes the Sun""",FALSE,1970,0,254,Folk,Folk,Folk
1971,96,wadsworth mansion,"""Sweet Mary""",FALSE,1970,0,162.666,Pop,70s,Pop
1971,97,brenda,"""Right on the Tip of My Tongue""",FALSE,1970,0,199.8,Unknown,Soul,NA
1971,98,the 5th dimension,"""One Less Bell to Answer""",TRUE,1970,1,210.76,Pop,Soul,Pop
1971,100,perry como,"""It's Impossible""",TRUE,1970,0,197.106,Jazz,Easy Listening,NA
1972,1,roberta flack,"""The First Time Ever I Saw Your Face""",TRUE,1970,2.23606797749979,260.666,Pop,Soul,NA
1972,2,gilbert o'sullivan,"""Alone Again (Naturally)""",FALSE,1970,1.4142135623730951,221.373,Pop,70s,Pop
1972,3,don mclean,"""American Pie""",TRUE,1970,1.4142135623730951,516.893,Folk,Classic Rock,Folk
1972,4,harry nilsson,"""Without You""",FALSE,1970,1,201,Pop,70s,Pop
1972,5,sammy davis jr.,"""The Candy Man""",FALSE,1970,0,188.226,Jazz,Jazz,Jazz
1972,6,joe tex,"""I Gotcha""",FALSE,1970,1,148.813,Pop,Funk,NA
1972,8,mac davis,"""Baby, Don't Get Hooked on Me""",TRUE,1970,1,183.933,Unknown,Soundtrack,NA
1972,10,wayne newton,"""Daddy Don't You Walk So Fast""",FALSE,1970,0,206.333,Unknown,1970'S,NA
1972,12,looking glass,"""Brandy (You're a Fine Girl)""",TRUE,1970,0,186.826,Pop,70s,Pop
1972,13,the chi-lites,"""Oh Girl""",FALSE,1970,0,216.28,Rnb,Soul,NA
1972,14,gallery,"""Nice to Be with You""",FALSE,1970,0,157.162,Rock,70s,Rock
1972,15,chuck berry,"""My Ding-a-Ling""",FALSE,1970,0,223.573,Rock,Oldies,Rock
1972,16,luther ingram,"""(If Loving You Is Wrong) I Don't Want to Be Right""",FALSE,1970,0,216.8,Blues,Soul,Blues
1972,17,neil young,"""Heart of Gold""",FALSE,1970,0,187.11,Rock,Classic Rock,Rock
1972,18,the stylistics,"""Betcha by Golly, Wow""",FALSE,1970,1.7320508075688772,253.004,Rnb,Soul,NA
1972,19,the staple singers,"""I'll Take You There""",FALSE,1970,1,196.826,Rnb,Soul,NA
1972,20,michael jackson,"""Ben""",TRUE,1970,5,167.386,Pop,Pop,Pop
1972,21,robert john,"""The Lion Sleeps Tonight""",TRUE,1970,1,153.706,Rock,70s,NA
1972,22,billy preston,"""Outa-Space""",FALSE,1970,1.7320508075688772,250.866,Rock,Funk,NA
1972,23,war,"""Slippin' into Darkness""",FALSE,1970,2.449489742783178,227.373,Rock,Funk,Rock
1972,25,mouth,"""How Do You Do""",FALSE,1970,0,244.133,Pop,70s,Pop
1972,27,america,"""A Horse with No Name""",TRUE,1970,1.7320508075688772,252.239,Rock,Classic Rock,Rock
1972,28,hot butter,"""Popcorn""",TRUE,1970,0,151.44,Electronic,Electronic,Electronic
1972,29,the main ingredient,"""Everybody Plays the Fool""",FALSE,1970,1,202.253,Rnb,Soul,NA
1972,30,climax,"""Precious and Few""",FALSE,1970,0,164.653,Rock,70s,NA
1972,32,the moody blues,"""Nights in White Satin""",FALSE,1970,0,269.106,Rock,Classic Rock,Rock
1972,33,raspberries,"""Go All the Way""",TRUE,1970,0,205.346,Rock,70s,Rock
1972,35,the o'jays,"""Back Stabbers""",TRUE,1970,2.23606797749979,186.093,Rnb,Soul,NA
1972,37,jonathan edwards,"""Sunshine""",TRUE,1970,0,138.733,Folk,70s,Folk
1972,38,mel,"""Starting All Over Again""",FALSE,1970,0,230.92,Blues,Soul,NA
1972,40,elton john,"""Rocket Man""",FALSE,1970,5.196152422706632,281.613,Pop,Classic Rock,Pop
1972,42,daniel boone,"""Beautiful Sunday""",FALSE,1970,0,185.346,Pop,70s,Pop
1972,43,dennis coffey,"""Scorpio""",FALSE,1970,0,263.229,Jazz,Funk,Jazz
1972,45,arlo guthrie,"""City of New Orleans""",FALSE,1970,0,274.506,Folk,Folk,Folk
1972,46,ricky nelson,"""Garden Party""",FALSE,1970,0,229.8,Pop,Oldies,Pop
1972,47,johnny nash,"""I Can See Clearly Now""",FALSE,1970,1,164.733,Reggae,Reggae,Reggae
1972,49,betty wright,"""Clean Up Woman""",TRUE,1970,0,169.533,Blues,Soul,NA
1972,50,argent,"""Hold Your Head Up""",FALSE,1970,0,377.56,Rock,Classic Rock,Rock
1972,51,the chakachas,"""Jungle Fever""",FALSE,1970,0,263.013,Latin,Funk,Latin
1972,55,donna fargo,"""The Happiest Girl in the Whole U.S.A.""",FALSE,1970,1,151.306,Country,Country,Country
1972,56,t. rex,"""Bang a Gong (Get it On)""",TRUE,1970,0,267,Rock,Glam Rock,Rock
1972,57,paul simon,"""Mother and Child Reunion""",FALSE,1970,2,187.4,Reggae,70s,Reggae
1972,60,derek and the dominos,"""Layla""",FALSE,1970,0,423.84,Rock,Classic Rock,Rock
1972,64,dr. hook,"""Sylvia's Mother""",TRUE,1970,2.6457513110645907,228.333,Rock,70s,Rock
1972,68,jim croce,"""You Don't Mess Around with Jim""",FALSE,1970,1.7320508075688772,148.586,Folk,70s,Folk
1972,69,commander cody,"""Hot Rod Lincoln""",FALSE,1970,0,164.933,Rock,Rockabilly,NA
1972,70,sonny,"""A Cowboy's Work Is Never Done""",FALSE,1970,0,195.626,Rock,Rock,Rock
1972,71,apollo 100,"""Joy""",FALSE,1970,0,170.282,Pop,Instrumental,Pop
1972,74,charley pride,"""Kiss an Angel Good Mornin'""",TRUE,1970,0,123.466,Country,Country,Country
1972,75,alice cooper,"""School's Out""",TRUE,1970,2.23606797749979,210.106,Rock,Classic Rock,Rock
1972,77,joe simon,"""Drowning in the Sea of Love""",FALSE,1970,1.4142135623730951,203.106,Blues,Soul,Blues
1972,80,the jimmy castor bunch,"""Troglodyte (Cave Man)""",FALSE,1970,0,217.933,Pop,Funk,NA
1972,81,redbone,"""The Witch Queen of New Orleans""",FALSE,1970,1,165.093,Rock,70s,Rock
1972,82,curtis mayfield,"""Freddie's Dead""",TRUE,1970,1,329.466,Rnb,Soul,NA
1972,84,jerry butler,"""Ain't Understanding Mellow""",FALSE,1970,0,260.333,Rnb,Rnb,Rnb
1972,85,harry chapin,"""Taxi""",TRUE,1970,1,402.84,Folk,Singer-Songwriter,Folk
1972,86,beverly bremers,"""Don't Say You Don't Remember""",FALSE,1970,0,203.05,Rock,70s,Rock
1972,87,bobby vinton,"""Sealed with a Kiss""",TRUE,1970,0,169.066,Pop,Oldies,Pop
1972,88,todd rundgren,"""I Saw the Light""",TRUE,1970,1,182.8,Rock,Classic Rock,Rock
1972,89,sailcat,"""Motorcycle Mama""",FALSE,1970,0,126.573,Rock,Motorcycle Mama,Rock
1972,90,original cast of godspell,"""Day by Day""",FALSE,1970,0,194.466,Unknown,NA,NA
1972,91,yes,"""Roundabout""",TRUE,1970,1,516.245,Rock,Progressive Rock,Rock
1972,92,jackson browne,"""Doctor My Eyes""",TRUE,1970,1.7320508075688772,199.706,Rock,Classic Rock,Rock
1972,95,the detroit emeralds,"""Baby Let Me Take You (In My Arms)""",FALSE,1970,0,230.368,Pop,1972,Pop
1972,96,rick springfield,"""Speak to the Sky""",FALSE,1970,2,162.986,Pop,Pop,Pop
1972,97,the hillside singers,"""I'd Like to Teach the World to Sing (In Perfect Harmony)""",FALSE,1970,0,136.341,Unknown,NA,NA
1972,98,love unlimited,"""Walkin' in the Rain with the One I Love""",FALSE,1970,0,287.933,Unknown,Soul,NA
1972,99,james brown,"""Get on the Good Foot""",FALSE,1970,1,209.906,Rock,Funk,NA
1972,100,the isley brothers,"""Pop That Thang""",TRUE,1970,1.7320508075688772,172.76,Pop,Soul,NA
1973,6,kris kristofferson,"""Why Me""",FALSE,1970,0,206.96,Country,Country,Country
1973,11,vicki lawrence,"""The Night the Lights Went Out in Georgia""",FALSE,1970,0,220.52,Pop,70s,Pop
1973,12,clint holmes,"""Playground in My Mind""",TRUE,1970,0,172.746,Pop,70s,Pop
1973,13,stories,"""Brother Louie""",FALSE,1970,0,235.8,Rock,70s,Rock
