primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappearance_count,sqrt_reappearance,reappears_after_first,clean_title,lastfm_genre,lastfm_top_tag,duration_sec,search_artist,new_lastfm_genre
rod stewart,1971,"""Maggie May""/""Reason to Believe""","""rod stewart""",TRUE,14,Mercury Records,1971-05-18,Mercury Records,1970,FALSE,2,13,3.605551275463989,TRUE,Maggie May/Reason to Believe,Unknown,NA,350.146,rod stewart,NA
carole king,1971,"""It's Too Late""/""I Feel the Earth Move""","""carole king""",TRUE,2,Ode/Epic/Legacy,1971,Ode; Epic; Legacy,1970,TRUE,3,1,1,TRUE,It's Too Late/I Feel the Earth Move,Unknown,NA,258.16,carole king,NA
the osmonds,1971,"""One Bad Apple""","""the osmonds""",TRUE,3,Universal Records,1970-11-14,Universal Records,1970,FALSE,4,2,1.4142135623730951,TRUE,One Bad Apple,Pop,70s,164.973,the osmonds,Pop
bee gees,1971,"""How Can You Mend a Broken Heart""","""bee gees""",TRUE,12,Bee Gees Catalog,1971-09,Bee Gees Catalog,1970,FALSE,5,11,3.3166247903554,TRUE,How Can You Mend a Broken Heart,Pop,Pop,285.373,bee gees,Pop
raiders,1971,"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""","""raiders""",TRUE,1,Columbia/Legacy,1971,Columbia; Legacy,1970,TRUE,6,0,0,FALSE,Indian Reservation (The Lament of the Cherokee Reservation Indian),Rock,70s,171.933,raiders,Rock
donny osmond,1971,"""Go Away Little Girl""","""donny osmond""",TRUE,5,Universal Records,1971-10-11,Universal Records,1970,FALSE,7,4,2,TRUE,Go Away Little Girl,Pop,70s,150.6,donny osmond,Pop
john denver,1971,"""Take Me Home, Country Roads""","""john denver""",TRUE,6,RCA/Legacy,1971,RCA; Legacy,1970,TRUE,8,5,2.23606797749979,TRUE,"Take Me Home, Country Roads",Country,Country,190.16,john denver,Country
tony orlando,1971,"""Knock Three Times""","[""tony orlando"",""dawn""]",TRUE,4,BMG Special Products,1970,BMG Special Products,1970,FALSE,10,3,1.7320508075688772,TRUE,Knock Three Times,Pop,70s,177.173,tony orlando & dawn,Pop
janis joplin,1971,"""Me and Bobby McGee""","""janis joplin""",TRUE,1,Columbia/Legacy,1971-01-11,Columbia; Legacy,1970,TRUE,11,0,0,FALSE,Me and Bobby McGee,Blues,Classic Rock,271.333,janis joplin,Blues
al green,1971,"""Tired of Being Alone""","""al green""",TRUE,6,Fat Possum,1971-08-14,Fat Possum,1970,FALSE,12,5,2.23606797749979,TRUE,Tired of Being Alone,Rnb,Soul,172.32,al green,NA
honey cone,1971,"""Want Ads""","""honey cone""",TRUE,2,Tooth & Nail (TNN),2000-01-01,Tooth & Nail (TNN),1970,FALSE,13,1,1,TRUE,Want Ads,Pop,70s,168.28,honey cone,Pop
the undisputed truth,1971,"""Smiling Faces Sometimes""","""the undisputed truth""",TRUE,1,Motown,1971-01-01,Motown,1970,TRUE,14,0,0,FALSE,Smiling Faces Sometimes,Rnb,Soul,198.546,the undisputed truth,NA
cornelius brothers,1971,"""Treat Her Like a Lady""","[""cornelius brothers"",""sister rose""]",TRUE,2,Arista/LaFace Records,1994-04-26,Arista; LaFace Records,1970,FALSE,15,1,1,TRUE,Treat Her Like a Lady,Pop,70s,160.36,cornelius brothers & sister rose,NA
the rolling stones,1971,"""Brown Sugar""","""the rolling stones""",TRUE,6,Polydor Records,1971-04-23,Polydor Records,1970,FALSE,16,5,2.23606797749979,TRUE,Brown Sugar,Rock,Classic Rock,228.666,the rolling stones,Rock
jean knight,1971,"""Mr. Big Stuff""","""jean knight""",TRUE,1,Stax,1971,Stax,1970,FALSE,18,0,0,FALSE,Mr. Big Stuff,Pop,Soul,164.56,jean knight,NA
lee michaels,1971,"""Do You Know What I Mean""","""lee michaels""",TRUE,1,Manifesto Records,1971-11-20,Manifesto Records,1970,FALSE,19,0,0,FALSE,Do You Know What I Mean,Rock,Classic Rock,193.8,lee michaels,Rock
joan baez,1971,"""The Night They Drove Old Dixie Down""","""joan baez""",TRUE,1,CAPITOL CATALOG MKT (C92),1969-09-22,CAPITOL CATALOG MKT (C92),1970,FALSE,20,0,0,FALSE,The Night They Drove Old Dixie Down,Folk,Folk,206.066,joan baez,Folk
marvin gaye,1971,"""What's Going On""","""marvin gaye""",TRUE,5,UNI/MOTOWN,1971-05-21,UNI; MOTOWN,1970,TRUE,21,4,2,TRUE,What's Going On,Rnb,Soul,233,marvin gaye,NA
paul,1971,"""Uncle Albert/Admiral Halsey""","[""paul"",""linda mccartney""]",TRUE,1,Paul McCartney Catalog,1971-05-17,Paul McCartney Catalog,1970,FALSE,22,0,0,FALSE,Uncle Albert/Admiral Halsey,Pop,Classic Rock,295.146,paul & linda mccartney,Pop
bill withers,1971,"""Ain't No Sunshine""","""bill withers""",TRUE,3,Columbia/Legacy,1971-05-01,Columbia; Legacy,1970,TRUE,23,2,1.4142135623730951,TRUE,Ain't No Sunshine,Blues,Soul,125.093,bill withers,Blues
five man electrical band,1971,"""Signs""","""five man electrical band""",TRUE,1,Mercury Records,1981-02-12,Mercury Records,1970,FALSE,24,0,0,FALSE,Signs,Rock,Classic Rock,241.693,five man electrical band,Rock
the free movement,1971,"""I've Found Someone of My Own""","""the free movement""",TRUE,1,Columbia/Legacy,1971-12-15,Columbia; Legacy,1970,TRUE,26,0,0,FALSE,I've Found Someone of My Own,Unknown,70s,226.514,the free movement,NA
murray head,1971,"""Superstar""","[""murray head"",""the trinidad singers""]",TRUE,2,Polydor Records,2012-01-01,Polydor Records,1970,FALSE,27,1,1,TRUE,Superstar,Unknown,NA,255.831,murray head & the trinidad singers,NA
jerry reed,1971,"""Amos Moses""","""jerry reed""",TRUE,2,RCA Records Label,1970-12-01,RCA Records Label,1970,FALSE,28,1,1,TRUE,Amos Moses,Country,Country,139.226,jerry reed,Country
the grass roots,1971,"""Temptation Eyes""","""the grass roots""",TRUE,1,Geffen,1969-11-01,Geffen,1970,FALSE,29,0,0,FALSE,Temptation Eyes,Pop,60s,159.173,the grass roots,Pop
george harrison,1971,"""My Sweet Lord""/""Isn't It A Pity""","""george harrison""",TRUE,4,BMG Rights Management (US) LLC,1970-11-20,BMG Rights Management (US) LLC,1970,FALSE,31,3,1.7320508075688772,TRUE,My Sweet Lord/Isn't It A Pity,Unknown,NA,244.517,george harrison,NA
ocean,1971,"""Put Your Hand in the Hand""","""ocean""",TRUE,1,Legacy Recordings,1971,Legacy Recordings,1970,FALSE,33,0,0,FALSE,Put Your Hand in the Hand,Pop,70s,176.706,ocean,Pop
daddy dewdrop,1971,"""Chick-A-Boom (Don't Ya Jes' Love It)""","""daddy dewdrop""",TRUE,1,Jive,2004,Jive,1970,FALSE,34,0,0,FALSE,Chick-A-Boom (Don't Ya Jes' Love It),Pop,70s,171.533,daddy dewdrop,Pop
gordon lightfoot,1971,"""If You Could Read My Mind""","""gordon lightfoot""",TRUE,2,143/Warner Records,1970,143; Warner Records,1970,TRUE,36,1,1,TRUE,If You Could Read My Mind,Folk,70s,228.84,gordon lightfoot,Folk
sammi smith,1971,"""Help Me Make It Through the Night""","""sammi smith""",TRUE,1,Varese Sarabande,1996-01-01,Varese Sarabande,1970,FALSE,37,0,0,FALSE,Help Me Make It Through the Night,Country,Country,155.533,sammi smith,Country
