primary_artist,Year,Title,record_label,album_year,decade,is_major_label,reappears_after_first
michael jackson,1972,"""Rockin' Robin""",Class & Rendezvous,1959,1970,FALSE,TRUE
daniel boone,1972,"""Beautiful Sunday""",RKO Music,2013-03-31,1970,FALSE,FALSE
dennis coffey,1972,"""Scorpio""",Clarence Avant Catalog,1971-11-06,1970,FALSE,FALSE
cat stevens,1972,"""Morning Has Broken""",UMC (Universal Music Catalogue),1970-04-24,1970,FALSE,TRUE
arlo guthrie,1972,"""City of New Orleans""",Rising Son Records,1975-09-30,1970,FALSE,FALSE
ricky nelson,1972,"""Garden Party""",Geffen,1972,1970,FALSE,FALSE
johnny nash,1972,"""I Can See Clearly Now""",Epic,1972,1970,FALSE,TRUE
elvis presley,1972,"""Burning Love""",RCA/Legacy,1973-07-16,1970,TRUE,TRUE
betty wright,1972,"""Clean Up Woman""",Rhino Atlantic,1972,1970,TRUE,FALSE
argent,1972,"""Hold Your Head Up""",Epic,1971,1970,FALSE,FALSE
the chakachas,1972,"""Jungle Fever""",AVCO Records Corp.,1972-01-01,1970,FALSE,FALSE
bread,1972,"""Everything I Own""",Elektra Records,1972,1970,FALSE,TRUE
the dramatics,1972,"""In the Rain""",Stax,1971,1970,FALSE,TRUE
al green,1972,"""Look What You Done for Me""",Fat Possum,1972-10-23,1970,FALSE,TRUE
donna fargo,1972,"""The Happiest Girl in the Whole U.S.A.""",Mercury Nashville,1986-01-01,1970,FALSE,TRUE
t. rex,1972,"""Bang a Gong (Get it On)""",Rhino/Warner Records,1971-09-24,1970,TRUE,FALSE
paul simon,1972,"""Mother and Child Reunion""",Legacy Recordings,1972-01-14,1970,FALSE,TRUE
roberta flack,1972,"""Where Is the Love""",Rhino Atlantic,1972,1970,TRUE,TRUE
al green,1972,"""I'm Still in Love with You""",Fat Possum,1972-10-23,1970,FALSE,TRUE
derek and the dominos,1972,"""Layla""",Universal Music Group International,1970-11-01,1970,FALSE,FALSE
aretha franklin,1972,"""Day Dreaming""",Rhino Atlantic,1968-06-14,1970,TRUE,TRUE
cher,1972,"""The Way of Love""",Geffen,1971-01-01,1970,FALSE,TRUE
three dog night,1972,"""Black and White""",Warner Records,1967-08-28,1970,TRUE,TRUE
dr. hook,1972,"""Sylvia's Mother""",Columbia,1972,1970,FALSE,TRUE
the carpenters,1972,"""Hurting Each Other""",A&M,1972,1970,FALSE,TRUE
harry nilsson,1972,"""Coconut""",RCA Records Label,1971,1970,FALSE,FALSE
donny osmond,1972,"""Puppy Love""",Universal Records,1972-05-27,1970,FALSE,TRUE
jim croce,1972,"""You Don't Mess Around with Jim""",Croce Music Publishing,1966-01-01,1970,FALSE,TRUE
commander cody,1972,"""Hot Rod Lincoln""",Geffen,1971-11-01,1970,FALSE,FALSE
sonny,1972,"""A Cowboy's Work Is Never Done""",CM BLUE NOTE (A92),1962-01-01,1970,FALSE,FALSE
apollo 100,1972,"""Joy""",Gulf Coast Records,1972-08-08,1970,FALSE,FALSE
carly simon,1972,"""Anticipation""",Rhino/Elektra,1971-11,1970,TRUE,TRUE
three dog night,1972,"""Never Been to Spain""",Three Dog Night,1971,1970,FALSE,TRUE
charley pride,1972,"""Kiss an Angel Good Mornin'""",RCA/Legacy,1971-11-01,1970,TRUE,FALSE
alice cooper,1972,"""School's Out""",Rhino/Warner Records,1972,1970,TRUE,TRUE
chicago,1972,"""Saturday in the Park""",Rhino,1972-07-10,1970,TRUE,TRUE
joe simon,1972,"""Drowning in the Sea of Love""",Ace Records,1972-01-01,1970,FALSE,TRUE
bill withers,1972,"""Use Me""",Columbia/Legacy,1972-05-01,1970,TRUE,TRUE
sly,1972,"""Family Affair""",Epic/Legacy,1971-11-01,1970,TRUE,TRUE
the jimmy castor bunch,1972,"""Troglodyte (Cave Man)""",Legacy Recordings,1972-03-04,1970,FALSE,FALSE
redbone,1972,"""The Witch Queen of New Orleans""",Legacy Recordings,1971-12-22,1970,FALSE,TRUE
